Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
31,1,24,0,1,0,3,1,1,1,4,1,1,1,2,1,1,5,5,1,2
51,1,24,0,1,2,6,2,3,2,3,5,2,3,2,2,6,3,4,2,3.08333333333333
84,1,24,0,1,0,6,2,3,6,4,5,2,2,3,2,5,5,3,3,3.58333333333333
130,1,24,0,0,0,20,1,4,3,7,7,1,4,7,1,7,7,7,6,5.08333333333333
137,1,24,0,1,0,9,5,4,4,5,5,3,3,3,2,5,5,5,4,4
200,1,24,0,1,0,4,1,3,3,2,3,1,1,1,1,1,2,5,2,2.08333333333333
213,1,24,0,1,0,6,1,2,1,1,1,1,1,1,1,1,3,1,3,1.41666666666667
11,1,23,0,1,0,11,8,3,5,7,7,7,1,7,3,7,4,2,3,4.66666666666667
20,1,23,0,1,0,2,0,2,3,2,2,1,1,1,1,2,5,2,1,1.91666666666667
83,1,23,0,1,0,3,0,1,4,5,5,1,1,4,1,4,3,1,3,2.75
203,1,23,0,1,3,5,4,1,1,2,2,1,1,1,1,3,3,3,1,1.66666666666667
273,1,23,0,0,0,15,11,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,22,0,1,0,12,8,1,2,2,5,2,1,1,1,4,3,5,4,2.58333333333333
50,1,22,0,1,0,1,0,4,4,4,5,3,2,2,1,5,5,5,5,3.75
89,1,22,0,0,0,0,0,2,1,3,2,1,1,1,1,2,5,3,1,1.91666666666667
117,1,22,0,1,0,10,5,2,3,5,7,2,2,2,2,2,7,2,2,3.16666666666667
118,1,22,0,0,0,5,1,5,5,6,6,3,4,6,3,4,5,3,4,4.5
123,1,22,0,1,0,20,18,1,1,2,3,1,1,1,1,1,5,2,1,1.66666666666667
126,1,22,0,0,0,2,0,1,4,1,5,1,1,2,1,7,6,6,2,3.08333333333333
151,1,22,0,0,0,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1.5
222,1,22,0,0,0,4,0,2,2,1,3,1,1,1,1,3,2,2,2,1.75
240,1,22,0,0,0,8,7,1,2,5,4,4,3,1,1,7,6,6,5,3.75
255,1,22,0,0,0,4,1,2,2,2,3,2,1,2,1,4,5,5,3,2.66666666666667
4,1,21,0,0,0,11,10,5,6,7,6,1,4,4,3,7,6,4,1,4.5
7,1,21,0,0,0,6,4,2,3,2,3,2,2,2,2,3,3,2,2,2.33333333333333
34,1,21,0,1,0,1,1,2,1,2,1,1,1,1,1,1,4,1,1,1.41666666666667
49,1,21,0,1,0,8,2,5,4,6,6,4,5,6,5,6,6,7,4,5.33333333333333
87,1,21,0,0,0,2,1,2,3,2,3,1,1,1,1,5,4,2,1,2.16666666666667
98,1,21,1,0,0,6,6,2,2,2,3,2,2,2,2,3,4,4,3,2.58333333333333
133,1,21,0,0,0,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1.16666666666667
134,1,21,0,1,0,13,8,2,1,2,3,1,1,1,1,3,3,1,1,1.66666666666667
154,1,21,6,1,0,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1
161,1,21,0,1,0,0, ,3,3,3,3,2,1,3,1,2,3,3,1,2.33333333333333
171,1,21, ,0,0, , ,2,2,3,3,1,1,3,1,4,2,2,1,2.08333333333333
217,1,21,0,1,0,3,1,1,3,1,4,1,1,1,1,5,6,6,2,2.66666666666667
223,1,21,0,0,0,8,2,3,4,3,4,1,1,1,1,3,3,1,1,2.16666666666667
249,1,21,0,0,2,0,0,1,2,1,7,1,2,1,1,7,7,2,1,2.75
297,1,21,0,1,0,3,1,3,5,2,5,2,2,2,6,6,3,2,2,3.33333333333333
22,1,20,0,1,0,3,0,3,2,4,2,2,3,4,4,3,2,1,2,2.66666666666667
39,1,20,0,0,2,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1,20,0,0,0,0,0,2,2,1,3,1,2,1,1,2,4,2,1,1.83333333333333
74,1,20,0,1,0,8,4,2,2,1,3,1,2,2,2,4,3,2,4,2.33333333333333
100,1,20,0,0,0,10,3,4,4,4,5,1,1,2,1,2,3,3,2,2.66666666666667
101,1,20,5,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
108,1,20,0,0,0,0,0,3,3,1,1,1,1,1,1,1,1,1,2,1.41666666666667
111,1,20,0,0,0,0,0,2,4,3,4,1,1,2,1,4,3,2,2,2.41666666666667
124,1,20,0,1,0,3,1,2,3,1,1,1,1,1,1,1,2,1,1,1.33333333333333
128,1,20,0,1,0,10,6,1,2,1,1,1,1,2,1,2,2,2,2,1.5
153,1,20,0,0,0,7,3,4,3,3,4,2,2,2,2,3,5,5,1,3
181,1,20,0,0,0,0,0,4,4,3,3,1,1,1,1,4,4,3,2,2.58333333333333
184,1,20,0,1,0,9,8,2,1,3,3,1,1,1,1,2,7,2,2,2.16666666666667
190,1,20,1,0,0,0,0,2,2,1,2,1,1,1,1,4,2,2,2,1.75
192,1,20,0,0,0,4,3,1,1,1,3,1,1,1,1,3,1,1,1,1.33333333333333
199,1,20,5,0,0,12,12,4,5,3,7,1,1,1,1,3,5,4,3,3.16666666666667
212,1,20,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1.08333333333333
215,1,20,0,1,0,1,0,2,2,2,3,1,1,1,1,5,3,2,2,2.08333333333333
241,1,20,0,0,0,7,6,3,2,2,3,2,2,2,2,2,3,2,2,2.25
251,1,20,0,0,0, ,0,5,5,4,4,3,2,3,3,5,4,2,2,3.5
272,1,20,0,0,5,0,1,4,5,4,5,2,2,2,2,3,3,2,2,3
24,1,19,6,1,0,1,0,4,4,2,3,3,4,3,3,2,5,2,5,3.33333333333333
99,1,19,0,1,0,1,0,4,3,4,3,2,2,3,1,3,3,2,2,2.66666666666667
103,1,19,0,0,0,0,0,1,2,1,2,1,1,1,1,4,4,3,1,1.83333333333333
104,1,19,0,1,0,6,2,2,2,2,2,2,1,1,1,2,2,2,2,1.75
107,1,19,0,1,0,3,1,6,5,4,6,2,2,2,1,5,6,6,1,3.83333333333333
110,1,19,0,0,0,0,0,1,2,3,2,1,1,1,1,6,4,1,1,2
113,1,19,2,0,0,1,0,1,1,1,3,1,2,1,1,4,5,5,1,2.16666666666667
146,1,19,0,1,0,2,0,1,1,7,1,1,4,1,1,4,1,1,1,2
163,1,19,0,0,0,0,0,1,3,1,3,1,1,1,1,1,3,3,1,1.66666666666667
180,1,19,0,1,0,1,0,3,4,2,6,2,3,3,1,2,5,3,2,3
198,1,19,0,1,1,1,0,2,2,2,2,1,1,1,1,5,2,1,1,1.75
220,1,19,0,0,0,4,2,1,2,1,1,1,1,1,1,4,2,2,2,1.58333333333333
221,1,19,0,1,0,1,0,4,4,5,3,3,3,3,1,4,5,4,4,3.58333333333333
238,1,19,0,1,0,1,0,4,6,7,2,3,1,5,1,6,6,6,2,4.08333333333333
248,1,19,0,0,0,6,5,3,2,1,3,1,1,1,1,1,1,1,2,1.5
250,1,19,0,1,0,6,4,4,3,3,2,3,3,3,3,4,5,5,3,3.41666666666667
264,1,19,0,0,0,4,4,1,2,2,3,1,1,1,1,2,2,2,1,1.58333333333333
265,1,19,7,0,0,1,0,3,3,1,3,1,1,1,1,3,3,2,1,1.91666666666667
